user_id,total_count
1,59
2,195
3,88
4,18
5,37
6,14
7,206
8,49
9,76
10,143
11,94
12,74
13,81
14,210
15,72
16,70
17,294
18,39
19,204
20,22
21,205
22,69
23,40
24,38
25,21
26,56
27,768
28,183
29,225
30,11
31,299
32,114
33,53
34,32
35,184
36,153
37,188
38,195
39,141
40,104
41,65
42,133
43,147
44,37
45,18
46,157
47,26
48,113
49,47
50,453
51,29
52,169
53,35
54,619
55,87
56,145
57,72
58,97
59,92
60,67
61,87
62,80
63,504
64,135
65,132
66,23
67,81
68,70
69,50
70,104
71,437
72,47
73,24
74,48
75,311
76,32
77,203
78,41
79,93
80,128
81,27
82,131
83,39
84,64
85,30
86,267
87,176
88,11
89,239
90,670
91,211
92,20
93,31
94,56
95,144
96,143
97,54
98,50
99,211
100,27
101,170
102,59
103,77
104,18
105,14
106,41
107,130
108,69
109,69
110,347
111,56
112,158
113,5
114,66
115,79
116,25
117,120
118,165
119,22
120,7
121,55
122,120
123,63
124,79
125,182
126,105
127,305
128,91
129,64
130,37
131,59
132,116
133,544
134,47
135,26
136,47
137,72
138,148
139,14
140,1151
141,41
142,368
143,222
144,26
145,67
146,371
147,63
148,103
149,228
150,288
151,164
152,696
153,267
154,620
155,241
156,18
157,44
158,31
159,53
160,265
161,263
162,87
163,77
164,190
165,92
166,28
167,54
168,140
169,85
170,8
171,57
172,20
173,426
174,173
175,130
176,43
177,48
178,60
179,31
180,222
181,96
182,204
183,76
184,153
185,40
186,54
187,203
188,72
189,59
190,160
191,23
192,42
193,33
194,90
195,185
196,3
197,448
198,51
199,16
200,172
201,53
202,365
203,11
204,515
205,49
206,177
207,22
208,93
209,316
210,1476
211,49
212,29
213,56
214,479
215,31
216,339
217,79
218,6
219,404
220,114
221,231
222,484
223,643
224,22
225,60
226,220
227,562
228,50
229,187
230,56
231,65
232,445
233,478
234,550
235,192
236,515
237,69
238,202
239,45
240,15
241,124
242,134
243,351
244,43
245,47
246,33
247,31
248,392
249,40
250,105
251,77
252,46
253,23
254,105
255,80
256,221
257,121
258,213
259,16
260,104
261,56
262,262
263,24
264,691
265,28
266,30
267,324
268,67
269,67
270,66
271,17
272,65
273,108
274,188
275,163
276,62
277,23
278,267
279,100
280,530
281,303
282,22
283,36
284,358
285,38
286,26
287,18
288,19
289,705
290,1590
291,17
292,131
293,114
294,108
295,265
296,30
297,49
298,49
299,64
300,280
301,148
302,76
303,13
304,278
305,40
306,120
307,171
308,11
309,308
310,493
311,61
312,29
313,787
314,11
315,34
316,190
317,40
318,7
319,55
320,142
321,478
322,150
323,1050
324,93
325,94
326,47
327,734
328,126
329,33
330,36
331,39
332,234
333,42
334,841
335,44
336,42
337,247
338,26
339,29
340,53
341,195
342,139
343,18
344,25
345,13
346,36
347,13
348,135
349,41
350,171
351,180
352,195
353,111
354,7
355,136
356,23
357,154
358,53
359,199
360,16
361,89
362,111
363,214
364,177
365,37
366,39
367,78
368,7
369,121
370,332
371,29
372,87
373,568
374,23
375,116
376,89
377,29
378,20
379,200
380,47
381,355
382,212
383,98
384,21
385,33
386,38
387,59
388,14
389,201
390,381
391,202
392,15
393,215
394,198
395,18
396,296
397,18
398,441
399,27
400,74
401,45
402,9
403,442
404,46
405,45
406,62
407,73
408,36
409,850
410,566
411,62
412,37
413,238
414,28
415,50
416,21
417,81
418,167
419,68
420,128
421,16
422,270
423,100
424,7
425,99
426,40
427,43
428,28
429,100
430,61
431,11
432,445
433,32
434,34
435,145
436,48
437,185
438,169
439,129
440,44
441,68
442,159
443,141
444,1181
445,22
446,26
447,17
448,447
449,114
450,187
451,242
452,301
453,97
454,658
455,66
456,29
457,62
458,160
459,111
460,38
461,19
462,1144
463,85
464,388
465,486
466,686
467,55
468,20
469,55
470,76
471,125
472,8
473,222
474,179
475,175
476,216
477,21
478,70
479,238
480,176
481,452
482,116
483,20
484,38
485,143
486,285
487,490
488,112
489,83
490,4
491,31
492,57
493,74
494,103
495,308
496,452
497,160
498,134
499,59
500,38
501,69
502,160
503,334
504,30
505,13
506,12
507,133
508,238
509,156
510,54
511,53
512,57
513,8
514,24
515,70
516,900
517,32
518,17
519,24
520,245
521,25
522,64
523,59
524,69
525,196
526,155
527,7
528,494
529,324
530,49
531,164
532,59
533,41
534,13
535,200
536,25
537,20
538,226
539,159
540,46
541,27
542,12
543,124
544,22
545,47
546,13
547,209
548,68
549,79
550,121
551,86
552,70
553,119
554,70
555,94
556,32
557,59
558,314
559,255
560,163
561,7
562,64
563,42
564,177
565,17
566,141
567,278
568,75
569,3
570,68
571,74
572,23
573,81
574,96
575,9
576,47
577,60
578,34
579,15
580,232
581,28
582,361
583,703
584,65
585,53
586,28
587,107
588,144
589,72
590,36
591,15
592,32
593,33
594,17
595,54
596,793
597,94
598,21
599,84
600,138
601,92
602,32
603,81
604,405
605,167
606,172
607,97
608,53
609,116
610,49
611,160
612,556
613,165
614,31
615,33
616,340
617,79
618,472
619,4
620,11
621,119
622,48
623,173
624,37
625,60
626,808
627,4
628,76
629,41
630,312
631,56
632,21
633,15
634,85
635,99
636,30
637,124
638,171
639,56
640,26
641,307
642,47
643,100
644,9
645,223
646,340
647,69
648,61
649,887
650,100
651,124
652,497
653,384
654,13
655,681
656,31
657,319
658,593
659,18
660,108
661,82
662,149
663,17
664,57
665,80
666,5
667,887
668,217
669,289
670,69
671,189
672,319
673,75
674,84
675,79
676,19
677,6
678,346
679,68
680,11
681,94
682,67
683,120
684,93
685,40
686,10
687,764
688,377
689,49
690,851
691,45
692,101
693,39
694,55
695,35
696,308
697,6
698,86
699,584
700,67
701,66
702,56
703,147
704,81
705,48
706,93
707,43
708,40
709,192
710,160
711,18
712,15
713,95
714,47
715,25
716,45
717,11
718,17
719,912
720,309
721,234
722,75
723,278
724,20
725,110
726,41
727,323
728,249
729,347
730,99
731,81
732,160
733,25
734,240
735,185
736,55
737,112
738,86
739,36
740,75
741,276
742,115
743,43
744,22
745,63
746,36
747,75
748,22
749,88
750,11
751,27
752,104
753,41
754,64
755,108
756,277
757,42
758,218
759,7
760,8
761,84
762,455
763,10
764,58
765,17
766,137
767,276
768,422
769,90
770,48
771,21
772,44
773,55
774,103
775,65
776,12
777,113
778,349
779,113
780,102
781,17
782,58
783,3
784,68
785,77
786,1010
787,223
788,19
789,39
790,22
791,80
792,109
793,13
794,41
795,34
796,160
797,128
798,67
799,108
800,89
801,33
802,98
803,86
804,112
805,48
806,28
807,26
808,29
809,160
810,22
811,79
812,846
813,18
814,19
815,23
816,136
817,154
818,433
819,53
820,41
821,34
822,66
823,23
824,111
825,33
826,12
827,41
828,11
829,12
830,98
831,97
832,65
833,219
834,235
835,9
836,31
837,73
838,58
839,549
840,47
841,167
842,198
843,42
844,100
845,266
846,54
847,651
848,314
849,113
850,63
851,64
852,563
853,100
854,761
855,290
856,23
857,536
858,62
859,118
860,184
861,4
862,42
863,175
864,157
865,13
866,502
867,14
868,466
869,43
870,687
871,10
872,40
873,133
874,183
875,19
876,47
877,131
878,29
879,508
880,470
881,383
882,26
883,53
884,43
885,95
886,139
887,112
888,153
889,36
890,296
891,221
892,122
893,232
894,1404
895,25
896,379
897,52
898,262
899,141
900,184
901,15
902,46
903,62
904,24
905,38
906,58
907,276
908,166
909,11
910,20
911,545
912,63
913,145
914,330
915,103
916,17
917,544
918,37
919,135
920,20
921,64
922,43
923,78
924,412
925,18
926,45
927,41
928,27
929,39
930,29
931,46
932,221
933,369
934,7
935,267
936,27
937,73
938,24
939,61
940,88
941,92
942,71
943,8
944,29
945,139
946,316
947,367
948,48
949,16
950,125
951,33
952,14
953,121
954,88
955,30
956,80
957,199
958,464
959,119
960,154
961,379
962,290
963,306
964,718
965,51
966,155
967,42
968,562
969,222
970,21
971,27
972,240
973,554
974,70
975,217
976,65
977,93
978,215
979,55
980,357
981,39
982,492
983,92
984,411
985,47
986,20
987,55
988,5
989,19
990,40
991,11
992,67
993,99
994,181
995,293
996,45
997,114
998,345
999,1001
1000,103
1001,80
1002,109
1003,112
1004,1103
1005,107
1006,30
1007,58
1008,53
1009,184
1010,43
1011,138
1012,76
1013,226
1014,8
1015,34
1016,91
1017,27
1018,1033
1019,117
1020,40
1021,679
1022,581
1023,229
1024,137
1025,70
1026,8
1027,458
1028,53
1029,70
1030,10
1031,21
1032,52
1033,49
1034,43
1035,313
1036,642
1037,172
1038,136
1039,13
1040,124
1041,146
1042,74
1043,158
1044,173
1045,44
1046,118
1047,145
1048,25
1049,81
1050,99
1051,21
1052,48
1053,16
1054,58
1055,217
1056,409
1057,83
1058,101
1059,1002
1060,14
1061,12
1062,116
1063,7
1064,95
1065,54
1066,629
1067,183
1068,6
1069,64
1070,39
1071,35
1072,142
1073,20
1074,36
1075,450
1076,22
1077,108
1078,56
1079,63
1080,79
1081,41
1082,49
1083,205
1084,267
1085,8
1086,17
1087,16
1088,212
1089,127
1090,11
1091,46
1092,60
1093,82
1094,35
1095,378
1096,124
1097,19
1098,3
1099,9
1100,66
1101,70
1102,28
1103,23
1104,42
1105,102
1106,44
1107,475
1108,131
1109,343
1110,28
1111,198
1112,126
1113,22
1114,25
1115,33
1116,160
1117,44
1118,85
1119,60
1120,717
1121,43
1122,242
1123,57
1124,99
1125,22
1126,57
1127,32
1128,72
1129,43
1130,308
1131,15
1132,113
1133,30
1134,108
1135,29
1136,264
1137,269
1138,197
1139,584
1140,37
1141,220
1142,135
1143,21
1144,31
1145,42
1146,25
1147,85
1148,65
1149,10
1150,395
1151,151
1152,24
1153,50
1154,27
1155,65
1156,319
1157,99
1158,36
1159,42
1160,80
1161,117
1162,158
1163,89
1164,565
1165,155
1166,63
1167,47
1168,46
1169,101
1170,170
1171,154
1172,27
1173,437
1174,26
1175,62
1176,69
1177,314
1178,75
1179,61
1180,200
1181,48
1182,28
1183,38
1184,84
1185,129
1186,207
1187,46
1188,86
1189,31
1190,47
1191,119
1192,48
1193,50
1194,25
1195,37
1196,213
1197,1442
1198,55
1199,686
1200,17
1201,31
1202,288
1203,330
1204,119
1205,22
1206,116
1207,20
1208,111
1209,64
1210,167
1211,36
1212,117
1213,275
1214,58
1215,141
1216,350
1217,74
1218,17
1219,80
1220,135
1221,375
1222,74
1223,69
1224,21
1225,218
1226,53
1227,22
1228,29
1229,36
1230,20
1231,328
1232,43
