user_id,equal_prod,equal_aisle,AP_score,Algo,train Y/N,unique_count,total_count,AP_score_at_10
102438,0.19,0.86,0.092,ALS,Y,80,379,0.739
159402,0.14,0.76,0.063,ALS,Y,96,240,0.607
191739,0.26,0.95,0.134,ALS,N,92,245,1.234
85323,0.18,0.86,0.067,ALS,Y,117,401,0.789
100069,0.22,0.83,0.13,ALS,Y,86,265,1.152
89576,0.26,0.91,0.172,ALS,Y,166,301,2.856
45570,0.09,0.81,0.015,ALS,Y,79,390,0.123
37050,0.16,0.89,0.055,ALS,Y,58,265,0.317
64472,0.17,0.85,0.054,ALS,Y,135,262,0.736
15105,0.16,0.76,0.063,ALS,Y,92,400,0.58
15105,0.07,0.56,,RBM,Y,92,400,0.58
64472,0.11,0.83,,RBM,Y,135,262,0.736
37050,0.16,0.8,,RBM,Y,58,265,0.317
45570,0.06,0.71,,RBM,Y,79,390,0.123
89576,0.23,0.89,,RBM,Y,166,301,2.856
100069,0.13,0.73,,RBM,Y,86,265,1.152
85323,0.15,0.8,,RBM,Y,117,401,0.789
191739,0.24,0.93,,RBM,N,92,245,1.234
159402,0.15,0.8,,RBM,Y,96,240,0.607
102438,0.14,0.74,,RBM,Y,80,379,0.739
