user_id,equal_prod,equal_aisle,AP_score,Algo,train Y/N,unique_count,total_count,AP_score_at_10
44334,0.22,0.91,0.09699999999999999,ALS,N,61,74,0.5920000000000001
195996,0.25,0.25,0.146,ALS,Y,4,17,0.146
185616,0.09,0.48,0.017,ALS,Y,27,29,0.046
185262,0.07,0.4,0.055999999999999994,ALS,Y,48,83,0.26899999999999996
35106,0.15,0.83,0.045,ALS,Y,30,81,0.135
31665,0.03,0.53,0.002,ALS,Y,16,26,0.003
88016,0.06,0.73,0.013000000000000001,ALS,N,47,62,0.06
172234,0.14,0.57,0.059000000000000004,ALS,Y,7,39,0.059000000000000004
158455,0.03,0.53,0.002,ALS,Y,50,50,0.009000000000000001
142694,0.05,0.45,0.01,ALS,N,33,39,0.033
142694,0.02,0.44,,RBM,N,33,39,0.033
158455,0.01,0.38,,RBM,Y,50,50,0.009000000000000001
172234,0.0,0.14,,RBM,Y,7,39,0.059000000000000004
88016,0.03,0.62,,RBM,N,47,62,0.06
31665,0.0,0.06,,RBM,Y,16,26,0.003
35106,0.08,0.67,,RBM,Y,30,81,0.135
185262,0.0,0.28,,RBM,Y,48,83,0.26899999999999996
185616,0.04,0.35,,RBM,Y,27,29,0.046
195996,0.0,0.0,,RBM,Y,4,17,0.146
44334,0.15,0.74,,RBM,N,61,74,0.5920000000000001
