order_id,product_id,reordered,user_id,order_dow,order_hour_of_day,product_name,aisle,department
2,33120,1,202279,5,9,Organic Egg Whites,eggs,dairy eggs
26,33120,0,153404,0,16,Organic Egg Whites,eggs,dairy eggs
120,33120,0,23750,6,8,Organic Egg Whites,eggs,dairy eggs
327,33120,1,58707,6,9,Organic Egg Whites,eggs,dairy eggs
390,33120,1,166654,0,12,Organic Egg Whites,eggs,dairy eggs
537,33120,1,180135,2,8,Organic Egg Whites,eggs,dairy eggs
582,33120,1,193223,2,19,Organic Egg Whites,eggs,dairy eggs
608,33120,1,91030,3,21,Organic Egg Whites,eggs,dairy eggs
623,33120,1,37804,3,12,Organic Egg Whites,eggs,dairy eggs
689,33120,1,108932,1,13,Organic Egg Whites,eggs,dairy eggs
726,33120,1,57362,2,17,Organic Egg Whites,eggs,dairy eggs
771,33120,1,73968,0,17,Organic Egg Whites,eggs,dairy eggs
800,33120,1,132856,5,7,Organic Egg Whites,eggs,dairy eggs
901,33120,1,160657,1,23,Organic Egg Whites,eggs,dairy eggs
1005,33120,1,108796,2,14,Organic Egg Whites,eggs,dairy eggs
1097,33120,1,30502,4,0,Organic Egg Whites,eggs,dairy eggs
1193,33120,1,113928,4,21,Organic Egg Whites,eggs,dairy eggs
1300,33120,1,29456,4,9,Organic Egg Whites,eggs,dairy eggs
1887,33120,1,25085,1,10,Organic Egg Whites,eggs,dairy eggs
2082,33120,0,108338,3,13,Organic Egg Whites,eggs,dairy eggs
